2026-12-01 08:01 user=alice ip=10.0.0.5 result=SUCCESS
2026-12-01 08:03 user=bob ip=10.0.0.8 result=FAILED
2026-12-01 08:04 user=bob ip=10.0.0.8 result=FAILED
2026-12-01 08:05 user=bob ip=10.0.0.8 result=FAILED
2026-12-01 08:06 user=bob ip=10.0.0.8 result=FAILED
2026-12-01 08:07 user=carla ip=10.0.0.11 result=SUCCESS
2026-12-01 08:10 user=dana ip=203.0.113.50 result=FAILED
2026-12-01 08:11 user=dana ip=203.0.113.50 result=FAILED
2026-12-01 08:12 user=dana ip=203.0.113.50 result=FAILED
2026-12-01 08:13 user=dana ip=203.0.113.50 result=FAILED
2026-12-01 08:14 user=dana ip=203.0.113.50 result=FAILED
2026-12-01 08:20 user=eric ip=10.0.0.19 result=SUCCESS
